633.8,-515.58,33.008
626.07,-511.47,33.008
622.4,-509.11,27.263
605.11,-496.03,38
594.07,-481.26,34
571.62,-439.97,44
561.69,-411.13,36
551.86,-382.14,42
540.14,-374.82,53
528.43,-367.51,65
516.71,-360.19,91
500.25,-353.26,85
483.79,-346.33,83
467.33,-339.4,88
452.55,-335.99,97
437.78,-332.58,97
423,-329.17,97
308.42,-313.04,97
193.85,-296.9,97
79.28,-280.77,153.108
77.06,-272.46,193.608
74.85,-264.16,300
72.63,-255.85,300
71.3,-245.02,145.991
69.96,-234.18,133.908
68.63,-223.34,212
66.29,-200.71,212
63.96,-178.07,197.83
61.63,-155.44,197.83
60.37,-147.61,187.6
59.12,-139.79,187.6
57.86,-131.96,180.21
56.61,-126.97,180.21
55.37,-121.99,174.87
54.12,-117,174.87
51.56,-114.72,161.01
49,-112.44,147.15
46.44,-110.16,133.29
43.94,-109.8,119.43
41.44,-109.45,105.57
38.94,-109.09,91.71
35.52,-111.07,77.85
32.11,-113.04,100.476
28.69,-115.02,101.988
22.27,-122.38,101.988
15.85,-129.74,101.988
9.43,-137.1,101.988
5.8,-139.23,91.889
2.16,-141.36,103
-1.48,-143.49,113
-5.85,-143.37,130
-10.22,-143.25,150
-14.59,-143.12,181
-19.09,-141.36,181
-23.58,-139.6,181
-28.08,-137.84,181
-32.09,-136.13,181
-36.11,-134.43,181
-40.12,-132.73,181
-46.89,-131.64,122
-53.65,-130.55,122
-60.42,-129.46,122
-67.29,-128.62,122
-74.15,-127.77,122
-81.02,-126.92,122
-89.53,-126.09,122
-98.04,-125.26,122
-106.55,-124.43,122
-110.09,-122.53,122
-113.62,-120.63,122
-117.16,-118.74,125
-119.68,-115.68,127
-122.2,-112.61,133
-124.73,-109.55,139
-124.33,-104.56,144
-123.93,-99.57,152
-123.53,-94.58,160
-123.33,-92.57,147
-123.13,-90.56,159
-122.93,-88.55,150
-120.55,-84.11,162
-118.16,-79.67,151
-115.77,-75.23,161
-111.92,-68.53,150
-108.07,-61.84,161
-104.22,-55.14,151
-96.17,-46.04,162
-88.12,-36.95,162
-80.08,-27.85,149
-71.56,-22.34,98.44
-63.05,-16.83,98.44
-54.54,-11.31,110
-43.92,-7.49,77.1
-33.31,-3.66,77.1
-22.69,0.17,91
-15.13,0.11,64.03
-7.56,0.06,64.03
